"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CTNWE";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100 000,00";"3,47811%";"115,83";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CXB58";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70 000,00";"5,53252%";"-130,27";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-D9-9BS5RZ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22 000,00";"5,53252%";"-40,94";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DB-9CKXH9";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90 000,00";"3,47811%";"104,25";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DB-9C9XVJ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30 000,00";"3,47811%";"34,75";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CYZSX";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70 000,00";"5,53252%";"-130,27";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 23:02:03";"Koszty Utrzymania Pozycji";"O2-DC-9CWHJE";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100 000,00";"5,53252%";"-186,10";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 19:45:14";"Transakcja Sprzedaży";"O2-DC-9CYZSX";"T2-DC-5P6ED9";"-";"USD/JPY";"70 000 Jednost.";"150,812";"-";"-";"-";"-";"4,091326";"286 392,82";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 19:38:18";"Stop Loss";"O2-DC-9CYZ4M";"T2-DC-5P6E4L";"-";"USD/JPY";"61 000 Jednost.";"150,750";"-";"-";"-";"-";"0,026861";"249 494,45";"34,41";"26 186,30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27 List 2024 19:38:18";"Stop Loss";"O2-DC-9CYZ47";"T2-DC-5P6E4K";"-";"USD/JPY";"7 000 Jednost.";"150,750";"-";"-";"-";"-";"0,026861";"28 630,51";"6,77";"26 151,89";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
